sales_month,sku,monthly_units_sum,month,monthly_sales,l15day_sales,l7day_sales,monthly_sales_bb,l15day_sales_bb,l7day_sales_bb,monthly_orders_bb,l15day_orders_bb,l7day_orders_bb,monthly_orders,l15day_orders,l7day_orders,monthly_units_ordered,l15day_units_ordered,l7day_units_ordered,monthly_units_ordered_bb,l15day_units_ordered_bb,l7day_units_ordered_bb,mon_unit_session_per_bb,l15day_unit_session_per_bb,l7day_unit_session_per_bb,mon_sessions,l15day_sessions,l7day_sessions,mon_page_views,l15day_page_views,l7day_page_views,rec_bb_per,monthly_bb_per,l15day_bb_per,l7day_bb_per,monthly_pv_per,l15day_pv_per,l7day_pv_per,rec_rank,rec_merc_listings,rec_fba_listing,old_rank,old_merc_listings,old_fba_listing,avg_rank_l15,avg_rank_monthly,avg_rank_f15,avg_merc_listings_l15,avg_merc_listings_f15,avg_merc_listings_monthly,avg_fbalistings_listings_l15,avg_fbalistings_listings_f15,avg_fbalistings_monthly,category,category_o
4,FBA-3135-0010,13,3,158.31,158.31,35.18,0,0,0,0,0,0,9,9,2,9,9,2,0,0,0,0,0,0,40,40,12,51,51,14,17,44.5,44.5,7,0.0033333333,0.0033333333,0,46098,0,0,59972,0,0,19135.5,44327.833333,25192.333333,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0010,14,4,228.67,52.77,35.18,0,0,0,0,0,0,13,3,2,13,3,2,0,0,0,0,0,0,77,22,16,108,25,19,25,46.3,5.8,5.8,0.004,0.001,0.001,53266,0,0,33313,0,0,14547.178571,33507.107143,18959.928571,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0012,44,3,20.89,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,0,0,26,0,0,0,0,0,0,0.01,0,0,19719,0,0,54830,0,0,10238.333333,31164.133333,20925.8,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0012,12,4,919.16,522.25,292.46,20.89,20.89,20.89,1,1,1,40,25,14,44,25,14,1,1,1,2.38,2.38,2.38,604,400,196,843,563,273,90,41.117647059,25.058823529,14.882352941,0.0211764706,0.0135294118,0.0058823529,16656,0,0,18908,0,0,6290.25,14703.571429,8413.3214286,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0013,9,3,349.86,99.96,24.99,0,0,0,0,0,0,14,4,1,14,4,1,0,0,0,0,0,0,159,51,12,229,68,14,50,65.333333333,21.166666667,4.1666666667,0.0083333333,0.0025,0.0008333333,28534,0,0,28810,0,0,13095.466667,30641.833333,17546.366667,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0013,10,4,224.91,224.91,149.94,0,0,0,0,0,0,9,9,6,9,9,6,0,0,0,0,0,0,90,90,56,125,125,84,77,73,73,62.833333333,0.0083333333,0.0083333333,0.005,13697,0,0,25653,0,0,10580.714286,27214.571429,16633.857143,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3135-0013,13,5,249.9,24.99,0,0,0,0,0,0,0,10,1,0,10,1,0,0,0,0,0,0,0,111,17,0,195,25,0,12,29.142857143,1.7142857143,0,0.0085714286,0.0014285714,0,20701,0,0,13480,0,0,10907.153846,23085.961538,12178.807692,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0016,2,3,74.97,49.98,0,0,0,0,0,0,0,3,2,0,3,2,0,0,0,0,0,0,0,5,2,0,5,2,0,50,41.5,25,0,0,0,0,46135,0,0,102846,0,0,45134.6,105645.1,60510.5,0,0,,0,0,,Pet Products,Pet Products
5,FBA-3135-0016,1,4,49.98,49.98,24.99,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,5,5,3,5,5,3,33,66.5,66.5,16.5,0,0,0,74444,0,0,77338,0,0,33996.464286,90569.607143,56573.142857,0,0,,0,0,,Pet Products,Pet Products
6,FBA-3135-0016,3,5,24.99,24.99,24.99,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60221,0,0,75321,0,0,37125.62963,87852.444444,50726.814815,0,0,,0,0,,Pet Products,Pet Products
4,FBA-3135-0018,4,3,49.98,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,16,0,0,21,0,0,50,47,0,0,0,0,0,95877,0,0,78179,0,0,37899.9,70141.7,32241.8,0,0,,0,0,,Pet Products,Pet Products
